@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute Tilt {0,1,2,3}
@attribute Swing numeric

@data
1,'2018/02/15 12:05:55:949',1,16,128,1024,0,1,0
2,'2018/02/15 12:05:55:984',1,0,128,976,-48,1,0
3,'2018/02/15 12:05:55:985',1,0,128,976,48,1,0
4,'2018/02/15 12:05:55:986',1,0,128,976,0,1,0
5,'2018/02/15 12:05:55:987',1,-32,144,1040,64,1,0
6,'2018/02/15 12:05:55:987',1,-32,144,1040,-64,1,0
7,'2018/02/15 12:05:55:988',1,-32,144,1040,0,1,0
8,'2018/02/15 12:05:55:990',1,-32,144,1040,0,1,0
9,'2018/02/15 12:05:55:996',1,-32,160,1056,16,1,0
10,'2018/02/15 12:05:56:002',1,-32,160,1056,-16,1,0
11,'2018/02/15 12:05:56:010',1,-32,160,1056,0,1,0
12,'2018/02/15 12:05:56:012',1,-32,144,992,-64,1,0
13,'2018/02/15 12:05:56:020',1,-32,144,992,64,1,0
14,'2018/02/15 12:05:56:023',1,-32,144,992,0,1,0
15,'2018/02/15 12:05:56:030',1,-32,144,1040,48,1,0
16,'2018/02/15 12:05:56:040',1,-32,144,1040,-48,1,0
17,'2018/02/15 12:05:56:041',1,-32,144,1040,0,1,0
18,'2018/02/15 12:05:56:049',1,-64,160,1040,0,1,0
19,'2018/02/15 12:05:56:062',1,-64,160,1040,0,1,0
20,'2018/02/15 12:05:56:064',1,-64,160,1040,0,1,0
21,'2018/02/15 12:05:56:070',1,-64,160,1040,0,1,0
22,'2018/02/15 12:05:56:072',1,-32,144,1024,-16,1,0
23,'2018/02/15 12:05:56:081',1,-32,144,1024,16,1,0
24,'2018/02/15 12:05:56:082',1,-32,144,1024,0,1,0
25,'2018/02/15 12:05:56:089',1,64,80,960,-64,1,0
26,'2018/02/15 12:05:56:101',1,64,80,960,64,1,0
27,'2018/02/15 12:05:56:102',1,64,80,960,0,1,0
28,'2018/02/15 12:05:56:112',1,-16,128,1024,64,1,0
29,'2018/02/15 12:05:56:115',1,-16,128,1024,-64,1,0
30,'2018/02/15 12:05:56:122',1,-16,128,1024,0,1,0
31,'2018/02/15 12:05:56:132',1,0,112,1040,16,1,0
32,'2018/02/15 12:05:56:133',1,0,112,1040,-16,1,0
33,'2018/02/15 12:05:56:140',1,0,112,1040,0,1,0
34,'2018/02/15 12:05:56:151',1,-48,144,1024,-16,1,0
35,'2018/02/15 12:05:56:152',1,-48,144,1024,16,1,0
36,'2018/02/15 12:05:56:159',1,-48,144,1024,0,1,0
37,'2018/02/15 12:05:56:159',1,-48,144,1024,0,1,0
38,'2018/02/15 12:05:56:171',1,-48,160,1040,16,1,0
39,'2018/02/15 12:05:56:182',1,-48,160,1040,-16,1,0
40,'2018/02/15 12:05:56:183',1,-48,160,1040,0,1,0
41,'2018/02/15 12:05:56:191',1,16,112,1008,-32,1,0
42,'2018/02/15 12:05:56:192',1,16,112,1008,32,1,0
43,'2018/02/15 12:05:56:200',1,16,112,1008,0,1,0
44,'2018/02/15 12:05:56:201',1,0,128,992,-16,1,0
45,'2018/02/15 12:05:56:211',1,0,128,992,16,1,0
46,'2018/02/15 12:05:56:220',1,0,128,992,0,1,0
47,'2018/02/15 12:05:56:222',1,-32,144,1040,48,1,0
48,'2018/02/15 12:05:56:229',1,-32,144,1040,-48,1,0
49,'2018/02/15 12:05:56:240',1,-32,144,1040,0,1,0
50,'2018/02/15 12:05:56:241',1,-48,160,1056,16,1,0
51,'2018/02/15 12:05:56:250',1,-48,160,1056,-16,1,0
52,'2018/02/15 12:05:56:251',1,-48,160,1056,0,1,0
53,'2018/02/15 12:05:56:260',1,-48,160,1056,0,1,0
54,'2018/02/15 12:05:56:261',1,-16,128,1008,-48,1,0
55,'2018/02/15 12:05:56:272',1,-16,128,1008,48,1,0
56,'2018/02/15 12:05:56:282',1,-16,128,1008,0,1,0
57,'2018/02/15 12:05:56:283',1,64,112,1088,80,1,0
58,'2018/02/15 12:05:56:291',1,64,112,1088,-80,1,0
59,'2018/02/15 12:05:56:292',1,64,112,1088,0,1,0
60,'2018/02/15 12:05:56:302',1,-48,160,992,-96,1,0
61,'2018/02/15 12:05:56:303',1,-48,160,992,96,1,0
62,'2018/02/15 12:05:56:312',1,-48,160,992,0,1,0
63,'2018/02/15 12:05:56:322',1,-32,144,1088,96,1,0
64,'2018/02/15 12:05:56:323',1,-32,144,1088,-96,1,0
65,'2018/02/15 12:05:56:331',1,-32,144,1088,0,1,0
66,'2018/02/15 12:05:56:333',1,-32,144,912,-176,1,0
67,'2018/02/15 12:05:56:342',1,32,96,912,176,1,0
68,'2018/02/15 12:05:56:351',1,32,96,912,0,1,0
69,'2018/02/15 12:05:56:353',1,32,96,912,0,1,0
70,'2018/02/15 12:05:56:363',1,80,80,1024,112,1,0
71,'2018/02/15 12:05:56:365',1,80,80,1024,-112,1,0
72,'2018/02/15 12:05:56:372',1,80,80,1024,0,1,0
73,'2018/02/15 12:05:56:383',1,32,112,944,-80,1,0
74,'2018/02/15 12:05:56:384',1,32,112,944,80,1,0
75,'2018/02/15 12:05:56:391',1,32,112,944,0,1,0
76,'2018/02/15 12:05:56:401',1,-16,160,1056,112,1,0
77,'2018/02/15 12:05:56:403',1,-16,160,1056,-112,1,0
78,'2018/02/15 12:05:56:413',1,-16,160,1056,0,1,0
79,'2018/02/15 12:05:56:414',1,-48,176,1104,48,1,0
80,'2018/02/15 12:05:56:422',1,-48,176,1104,-48,1,0
81,'2018/02/15 12:05:56:432',1,-48,176,1104,0,1,0
82,'2018/02/15 12:05:56:433',1,-48,176,1104,0,1,0
83,'2018/02/15 12:05:56:442',1,16,128,1072,-32,1,0
