@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
1,'2018/02/18 17:43:39:244',1,4080,1
2,'2018/02/18 17:43:40:075',1,4080,1
3,'2018/02/18 17:43:41:651',1,4080,1
4,'2018/02/18 17:43:48:591',1,4080,1
5,'2018/02/18 17:43:50:330',1,4080,1
6,'2018/02/18 17:43:51:122',1,4080,1
7,'2018/02/18 17:43:52:851',1,4080,1
8,'2018/02/18 17:43:56:462',1,4080,1
9,'2018/02/18 17:43:58:934',1,4080,1
10,'2018/02/18 17:43:58:964',1,4080,1
11,'2018/02/18 17:44:03:095',1,4080,1
12,'2018/02/18 17:44:03:795',1,4080,1
13,'2018/02/18 17:44:06:354',1,4080,1
14,'2018/02/18 17:44:08:196',1,4080,1
15,'2018/02/18 17:44:11:695',1,4080,1
16,'2018/02/18 17:44:43:263',2,4080,0.67
17,'2018/02/18 17:44:44:335',2,4080,0.67
18,'2018/02/18 17:44:45:345',2,3792,0.67
19,'2018/02/18 17:44:47:746',2,3456,0.67
20,'2018/02/18 17:44:49:276',2,3104,0.67
21,'2018/02/18 17:44:51:247',2,4080,0.67
22,'2018/02/18 17:44:55:329',2,3312,0.67
23,'2018/02/18 17:44:57:468',2,3936,0.67
24,'2018/02/18 17:44:58:357',2,3488,0.67
25,'2018/02/18 17:44:59:377',2,4000,0.67
26,'2018/02/18 17:45:01:208',2,4080,0.67
27,'2018/02/18 17:45:02:177',2,3392,0.67
28,'2018/02/18 17:45:04:939',2,4080,0.67
29,'2018/02/18 17:45:05:819',2,3680,0.67
30,'2018/02/18 17:45:06:769',2,3472,0.67
31,'2018/02/18 17:45:07:669',2,4016,0.67
32,'2018/02/18 17:45:23:486',2,3184,0.33
33,'2018/02/18 17:45:24:386',2,2432,0.33
34,'2018/02/18 17:45:25:177',2,2288,0.33
35,'2018/02/18 17:45:25:906',2,2656,0.33
36,'2018/02/18 17:45:26:596',2,2720,0.33
37,'2018/02/18 17:45:27:316',2,3600,0.33
38,'2018/02/18 17:45:27:368',2,2720,0.33
